,Review,Predicted Sentiment,Positive %,Neutral %,Negative %
22,weak replace least three times brand trash bags reason didnt give one star cause...,Positive,65.6%,30.3%,4.1%
23,ordered little worried cost would equal product ordered got day awesome order wo...,Positive,63.1%,16.1%,20.8%
24,afraid firt try really hate artificial grape taste grape juices products however...,Positive,57.6%,12.9%,29.5%
25,although im fan lavazza particular mix tastes good light even though use twice m...,Neutral,25.9%,54.6%,19.5%
26,bought lifting litter pouring empty pan sifting waste day heavy lifting bought u...,Positive,75.6%,0.2%,24.2%
27,ordered item point ww popcorn hard find stores received last night point ww popc...,Neutral,1.2%,78.1%,20.7%
28,new sprouting new fact read buckwheat easy sprout bought organic seed unfortunat...,Positive,45.5%,12.9%,41.7%
29,quickly become one favorite teas flavorful without overpowering love black tea w...,Neutral,17.2%,48.1%,34.7%
30,well start dont know toys drink bottle pretty coll looking smell taste terrible ...,Positive,94.4%,4.5%,1.1%
31,best tikka masala sauce ive ever jar flavor easily cooks vegetables added defini...,Negative,5.3%,42.6%,52.1%
32,found dollar story please good thing purchase container math...,Negative,1.9%,23.5%,74.7%
33,ive searching cereal years love im glad found amazonbr br reunited tastes good...,Neutral,23.8%,51.2%,25.0%
34,fantastic ingredients wish cat wouldve eaten dog didnt care dog food either hes ...,Negative,0.3%,34.2%,65.5%
35,buying treats amazon local pet stores almost years perfect size training treat f...,Positive,85.2%,10.0%,4.7%
36,healthest nutricious snack even kids love best price around...,Positive,48.3%,31.8%,19.9%
37,lousy packagingstorage food wonderful cat loves amazon really made mess order ca...,Negative,39.1%,16.7%,44.2%
38,lucky year chihuahua isnt picky snacks eat anything product exception gave one p...,Neutral,8.9%,62.8%,28.3%
39,best honey ever tasted tried many types honey nothing compares langnese acacia h...,Positive,37.8%,27.3%,34.9%
40,perfect blend us dont want coffee strong...,Neutral,35.4%,56.4%,8.2%
41,bought coming wits end trying find something help daughters eczema lotions matte...,Neutral,20.4%,48.3%,31.3%
42,hot cocoa delicious low calories reasonably priced although label states fatfree...,Neutral,1.6%,69.4%,29.1%
43,someone said tasted like sprite doesnt even close opinion energy drink tastes li...,Negative,23.0%,8.1%,68.9%
44,feeding hounds purina one liked thought id try since much liked ingredients love...,Negative,14.1%,5.7%,80.3%
45,really looking forward trying chips since love cheese super disappointed big fan...,Positive,39.9%,22.9%,37.2%
46,dog loves food wife thrilled feeding dog organic healthy made us really seemed m...,Positive,49.0%,2.4%,48.6%
47,product really good healthy wise cant swallow waste fricken money tastes like ta...,Negative,37.9%,14.6%,47.5%
48,really like blue mountain coffee bestgreat flavor acid profile great grade other...,Neutral,47.0%,51.0%,2.0%
49,excellent oatmeal steel cut way gomore flavorful healthier quaker rolled oats pr...,Neutral,14.8%,81.7%,3.5%
50,good price great tasting coffee say keurig coffee maker good deal good coffee...,Neutral,31.0%,36.9%,32.1%
51,product arrived series normal ziplock bags didnt receive fancy package like pict...,Negative,29.4%,17.6%,53.0%
52,horrible product first item work week lots flies around simply avoid infact sit ...,Negative,14.3%,24.7%,61.1%
53,brothers cats food whole lives love healthy times hard find stores prefer order ...,Positive,93.7%,1.6%,4.7%
54,good coffee dont like strong coffee nice mild great breakfast blend use cream gr...,Negative,10.6%,4.9%,84.5%
55,great food great moisturizerbr br cooking may get slight hint coconut food love ...,Neutral,36.3%,58.2%,5.5%
56,would never know sugarfree diabetic real treat able able make something quickly ...,Negative,2.3%,21.2%,76.4%
57,product works well makes wine taste smoother less bitter taste test absolute dif...,Positive,54.8%,32.2%,13.0%
58,love john west products also great although find specific herring little sweet s...,Neutral,4.2%,75.1%,20.7%
59,easily put stuff tastes good fresh slightly sweetened overly coconut pulp delici...,Neutral,47.7%,52.1%,0.3%
60,ordered assuming similar bully sticks would give lb dog something chew minutes u...,Negative,11.8%,24.9%,63.3%
61,bought keurig couldnt get prime kept returning silly product getting new one wor...,Positive,57.7%,23.9%,18.4%
62,friend loves vintage candy turned love coconutthe rest family coconut cake milli...,Negative,23.7%,7.6%,68.8%
63,time family changed opinion bit polenta extremely fine grind fine taste bobs red...,Positive,67.0%,25.8%,7.2%
64,defintely tasty madhouse munchies familys favorite kettles darkburntmore broken ...,Positive,76.4%,23.5%,0.0%
65,illy issimo coffee drink cappucino decent coffee like drink would describe mild ...,Positive,59.1%,5.3%,35.6%
66,keeps dogs teeth nice white smells like filled minerals kinds good stuff highly ...,Positive,40.7%,22.7%,36.6%
67,ordered coffee mom since drink decaf absolutely loves ive also tried really impr...,Negative,4.5%,34.4%,61.1%
68,ive using product daughter past years ive tried least brands one remains clear w...,Neutral,24.3%,69.5%,6.3%
69,bought indoor cat tries eat grass every time go outside followed suggestion othe...,Neutral,11.6%,46.2%,42.1%
70,son takes snack everyday loves kind protein bars arrived fast great deal...,Neutral,40.2%,58.2%,1.6%
71,good satisfying late night sugar cravings without guilt order finish pack sure...,Neutral,9.7%,59.9%,30.3%
72,much better thought would price true value chocolate outstanding shipping well e...,Positive,50.3%,6.3%,43.3%
73,love bars theyre easy tote around taste like real food actually satisfy peanut b...,Negative,44.7%,2.2%,53.1%
74,eat meat vegetarian foods prepare wide variety bothbut let start saying stuff fl...,Neutral,5.3%,74.2%,20.5%
75,great choice something fridge lack time make chilled coffee drink sweet mocha fl...,Positive,67.7%,4.9%,27.4%
76,good stuff love flavor strong bitter arrived time makes much sense purchase kcup...,Positive,53.0%,10.2%,36.8%
77,interestingly even comparing sauces immediately brought mind taco bell never rea...,Negative,15.7%,34.7%,49.7%
78,small dogs maltese cookies right size tiny mouths love made america quality ingr...,Positive,48.7%,17.9%,33.5%
79,used waffle recipe said would dissolve make air pockets sweetness resulting ligh...,Neutral,6.7%,80.0%,13.3%
80,really hard time drinking product tried cold room temperature nothing helped how...,Positive,65.0%,12.4%,22.5%
81,chi heart murmur starting failure product extra vitamins nutrients needs also go...,Negative,27.7%,14.7%,57.6%
82,gum solid barrel shape although packaging makes appear ridges gum thus make full...,Neutral,42.7%,48.6%,8.7%
83,also moist minatures bigger found cheeseegg dog treats great training treats sof...,Neutral,30.3%,45.6%,24.0%
84,bars really best bars existence beat combination mangos plus macadamias plus coc...,Negative,28.5%,0.7%,70.7%
85,like fresca much next person say im fairly indifferent theres reason cost kind f...,Negative,2.7%,31.0%,66.4%
86,like organic stuff sweet like drinking sugar sweetness overwhelming could hardly...,Negative,35.2%,13.2%,51.5%
87,trying airline addicted smell like baked blueberries taste like crunchy blueberr...,Neutral,10.2%,70.1%,19.7%
88,tony cat loves stuff open scissors many squirting episodes scoop junk spoon gott...,Negative,33.5%,12.6%,53.9%
89,hydrate suffer lower performance especially multiday events stay ahead drink wat...,Neutral,38.7%,42.8%,18.6%
90,children sent said delicious brought back happy memories life scotland...,Neutral,5.3%,89.9%,4.7%
91,highly recommend hitek naturals originally thought foster great dane picky eater...,Negative,28.8%,20.5%,50.7%
92,son allergic everything happy find product find bit bland son loves never seen s...,Positive,58.2%,1.2%,40.6%
93,dont know effects experience however tastes good arrived promptly received two o...,Negative,13.6%,2.3%,84.1%
94,tried whim picked local supermarket think tastes almost exactly like peiweis bla...,Positive,57.5%,24.7%,17.8%
95,probably favorite toy heavy yet manages walk around mouth like prize lb aggressi...,Neutral,10.8%,80.7%,8.5%
96,girlfriend loves marinade much bought family excellent quick simple tastes delic...,Positive,49.9%,18.9%,31.2%
97,like jar curry sauce pantry quick suppers dont time make scratch ive testing sev...,Neutral,36.9%,47.4%,15.7%
98,sturdy reviews stated flimsybr issues would highly recommend anyone friends...,Positive,86.1%,11.6%,2.3%
99,wondered month olds liked one much reviews werent promising noted twice calories...,Positive,70.8%,4.0%,25.3%
100,starbucks made exceptional product almost ruined bad packagingbr br instant coff...,Negative,11.7%,10.2%,78.2%
101,baby loves stuff great texture actually reasonably tasty like gets protein flavo...,Positive,82.8%,4.5%,12.7%
102,understood sugarfree jello ordered received regular jello discovered item nonret...,Neutral,18.4%,67.2%,14.4%
103,give handfuls st bernard much smaller anticipated liked though...,Negative,33.4%,9.3%,57.2%
104,dried mushrooms called funghi porcini label implying italian origin nowhere prod...,Negative,2.9%,23.9%,73.2%
105,wonderful product learned jamaica back us impossible find pretty good price ship...,Neutral,27.0%,68.5%,4.5%
106,delicious low sodium onion topping use anything requiring crunchy onions top mak...,Neutral,20.8%,60.2%,19.1%
107,would given four five star rating two problems first food completely cooked quit...,Positive,75.3%,8.5%,16.2%
108,best purchase could made daughter priced beautifully daughter study without worr...,Neutral,11.2%,67.0%,21.8%
109,gave wife keurig last christmas coffee purist scorned using one morning running ...,Positive,50.8%,19.1%,30.0%
110,marshmallows great taste like ones box lucky charms add every morning bowl lucky...,Positive,56.1%,36.2%,7.7%
111,chips truly unique naturally colored beet juice festive great entertaining super...,Neutral,9.2%,46.7%,44.1%
112,hands best hot chocolate date keurig universe sweet creamy super tasty enjoy spl...,Neutral,31.9%,42.6%,25.6%
113,think might addicted tea different tangy calls around starting drag later aftern...,Neutral,38.6%,42.0%,19.4%
114,baking soda aluminum free unnecessary marketing ploy get buy product buy natural...,Positive,52.4%,31.6%,15.9%
115,lower fat granola usually tastes lacking sold generally organic food stores inco...,Positive,44.9%,40.9%,14.2%
116,tastes like slightly version yoohoo agree reviewers saying refreshing thirst que...,Negative,23.0%,18.8%,58.2%
117,really wanted like bought double pack would one home one school school used trad...,Positive,52.9%,14.4%,32.7%
118,pack contains oreos thats tidy size someone wants little snack tends overdo big ...,Negative,1.8%,10.6%,87.6%
119,feed two dogs organic food makes sense serve organic snacks dogs love heart shap...,Positive,91.2%,3.5%,5.3%
120,im big fan gum dont care taste wouldnt order gave stars husband liked better...,Neutral,4.3%,52.6%,43.1%
121,fabulous new flavor ever spearmint grn teapassion fruit plum ive become totally ...,Neutral,26.3%,53.6%,20.1%
122,emerils jazzed decaf kcups great probably best cup decaf ever kidding many diffe...,Positive,74.2%,9.0%,16.9%
123,amazing son actually laughs smiles waves arms legs around sees container thing g...,Positive,81.8%,4.9%,13.3%
124,touted friend sleep inducer tried works tastes kinda mediciney definitely job...,Negative,44.0%,4.6%,51.3%
125,xmas gift dog loved couple days later stopped eating threw bile everywhere becam...,Neutral,15.2%,62.4%,22.4%
126,eight year old jack russell thirteen year old mixed breed needed natural low fat...,Positive,48.3%,25.6%,26.1%
127,bought product ingredients grain thinking would healthier multiple cats unfortun...,Negative,31.9%,29.5%,38.6%
128,sit stay three pairs eyes look upbr br sniff bag smoke scent overpowering test s...,Positive,59.7%,1.8%,38.5%
129,pitbull mix year old stray found school chews everything leather shoes bothers e...,Positive,45.5%,11.2%,43.2%
130,got pods plain old box coffee thrown pods damaged since coffee selection good va...,Neutral,22.4%,60.6%,16.9%
131,pretty good mean seasoning tastes really good im sucker good seasoning cant real...,Negative,2.4%,46.2%,51.3%
132,love protein snack bar tastes like candy bar protein bar easy eat easy digest qu...,Neutral,17.8%,54.7%,27.5%
133,friend mine recommended tried chia seeds though crazy mean theyre chia seeds eno...,Positive,45.7%,26.8%,27.5%
134,currently feeding baby earths best veggies starter since bit thin side use rice ...,Positive,70.4%,10.9%,18.6%
135,husband researched dog foods looked one transition puppy dog vet encouraged us g...,Neutral,24.5%,68.3%,7.2%
136,dog treated condition requires reduce exercise level almost nothing im desperate...,Negative,18.1%,28.5%,53.4%
137,happy producttastes great sugar worth every penny know im eating something good ...,Neutral,35.0%,49.3%,15.7%
138,sampled number different kkup blends one seems closest wife describes smokey fla...,Neutral,7.3%,63.7%,29.0%
139,best flavor altoids line course cant find anywhere area used available local gro...,Neutral,10.3%,84.5%,5.2%
140,cocoa ruined cocoas want honest little expensive especially shipping always appl...,Positive,48.0%,41.1%,10.9%
141,trying many different types thick potato chips one bestbr br brands kettle chips...,Positive,74.6%,3.4%,22.0%
142,jerky pretty gross tastes sausagey like slimjim picture nutrition facts web site...,Positive,53.2%,28.7%,18.0%
143,used yearsit stores well inside fridgeive made bread dough many waysbuthave foun...,Neutral,42.2%,49.7%,8.1%
144,bought product lorann extreact compare comparable prices unfortunately comparabl...,Negative,18.6%,3.8%,77.6%
145,happy get heinz mustard everyone carries ketchup mustard searched long time sign...,Positive,86.6%,8.1%,5.3%
146,chocolate sweetened didnt like berries good looked dry hard soft like raisens...,Negative,24.3%,21.3%,54.3%
147,great product fast shipping would definitely buy vendor pet really enjoying food...,Positive,66.4%,2.4%,31.2%
148,arrived smashed melted caramel hard like twix bags bad twix booo...,Neutral,26.7%,47.8%,25.5%
149,bought gift dont know stuff tastesbr theres good variety stuff looks nice spiffy...,Positive,63.1%,22.0%,14.9%
150,think name changed soy crispy bar granola stretch surprisingly lacking much flav...,Negative,17.1%,26.5%,56.4%
151,wolfgangs reserve columbian decaf probably best decaf kcup good cup coffee...,Negative,37.3%,5.2%,57.5%
152,solved problem needed way ship canned goods elderly mother loved size cans stark...,Negative,3.7%,27.3%,69.0%
153,bad little bitter taste enjoy coffee people extra bold better...,Neutral,5.7%,72.5%,21.8%
154,first tasted tea friends house alaska able find locally maryland pricey linemuch...,Positive,45.0%,11.3%,43.6%
155,trying find fresh mint iced tea couldnt find reliable source tea nice like mint ...,Negative,24.4%,31.7%,43.9%
156,buddy bear love little snacks gets excited every time sees going bag loves em...,Positive,46.8%,30.4%,22.8%
157,rossa lavazza one best coffees market used grinding beans ensure freshness rossa...,Negative,13.0%,31.4%,55.7%
158,gained weight telling much months putting diet chips saved gorging bad stuff bec...,Neutral,7.1%,80.5%,12.4%
159,love flavor slivers chewy coconut honey almonds really taste great meso far favo...,Neutral,20.4%,47.5%,32.1%
160,never allow run thisbr stumbled onto bought part sampler pack bought samples get...,Positive,59.4%,2.0%,38.6%
161,boyfriend went get eight month old boston terrier two weeks ago bought supplies ...,Neutral,0.6%,50.5%,49.0%
162,wanted like coffee weve tried wolfgang puck kcups pleasantly surprised impress u...,Negative,10.1%,32.7%,57.1%
163,winner convenient taste youre looking somewhere magazine reviews read choice fla...,Negative,29.1%,29.3%,41.6%
164,love stuff adds unique flavor salmon suggestion go overboard little goes long wa...,Negative,39.6%,9.6%,50.8%
165,firstly start saying get enough noodles bit pricey live much better instant nood...,Neutral,15.7%,48.2%,36.1%
166,maybe definitive burton film maybe like tie edward scissorhands beetlejuice perf...,Negative,29.8%,20.7%,49.6%
167,love lime chili almonds blue diamond great snack low carb diet addition buying p...,Positive,55.0%,39.2%,5.8%
168,pho one alltime favorite foods saw grocery store extremely excited id waiting pr...,Neutral,26.1%,47.2%,26.7%
169,love cereal never order size bad much else say...,Neutral,7.8%,86.6%,5.6%
170,love bars nice crunchy brands made mostly dates crunch like eating granola bars...,Negative,33.4%,9.7%,56.9%
171,maple brown sugar flavor nice nutrition contents single g packetbr total fat g g...,Neutral,8.6%,75.0%,16.5%
172,awesome thats way describe copy cat products market none come close...,Positive,66.3%,8.0%,25.6%
173,used faerie dust replacement salt pepper nearly everything cook years quit cardi...,Negative,43.7%,11.1%,45.2%
174,candy packets perfect halloween giveaways work western theme individual packets ...,Negative,28.2%,14.6%,57.2%
175,product cereal arrived time good expected say cereal...,Negative,17.3%,30.1%,52.6%
176,roasted still tastes weird bad way wouldnt buy quality product good hence stars ...,Negative,8.0%,21.6%,70.4%
177,idea reviews brand dieters tea talking followed directions nothing happened brew...,Neutral,20.7%,77.2%,2.1%
178,tiny little box tiny tasteless palmiers sweet disappointed...,Positive,54.4%,41.9%,3.7%
179,cats like bff tuna tilapia turn noses everything else idea came picky really...,Negative,0.8%,9.5%,89.7%
180,smooth bitter coffee little pricey good good sweet flavor recommend...,Positive,46.6%,16.9%,36.5%
181,taste bought ingredients soy artificial junk w protein shakes acquired taste tip...,Positive,41.0%,20.2%,38.8%
182,great rich smoke flavor giving stars instead wish plastic bottle instead plastic...,Neutral,31.0%,54.3%,14.7%
183,dogs love treats problems ive encountered left powder bottom sizes uniform many ...,Negative,21.4%,12.9%,65.6%
184,im big fan mocha cappaccino fact im addicted thought id try different flavor tim...,Neutral,24.8%,50.4%,24.8%
185,several years ago went tour celestial seasonings tea factory boulder colorado gu...,Positive,72.6%,17.7%,9.6%
186,shampoo great job scent strong although linger smell hours later rub fingers hai...,Negative,34.0%,6.3%,59.7%
187,ive tried brands whole wheat couscous past year finding much healthier regular c...,Negative,37.1%,5.6%,57.3%
188,delightful new taste package love nut snacks ordered gift scrumptious addictive ...,Neutral,8.1%,50.6%,41.3%
189,found tea excellent reason stars instead resort shop vise wrench get one contain...,Neutral,32.8%,63.9%,3.4%
190,great gift find truly unique parents still excited even though gave christmasthe...,Positive,63.9%,10.5%,25.6%
191,plant pitchers visible cut half way reason attempted dust ants planted pot venus...,Neutral,9.1%,62.9%,28.1%
192,typical dry dog food meat ground kind fillers air dried look ingredientsbr br ve...,Negative,21.7%,7.2%,71.1%
193,dont consider genoa salami expert really know separates genoa salami kind salami...,Positive,91.2%,6.9%,1.9%
194,daughter loves gluten sensitivities happy find...,Positive,46.6%,41.3%,12.1%
195,tried many sugarfree syrups one easily favorite great coffee self little pepperm...,Negative,14.5%,8.8%,76.8%
196,need make brownies scratch anymore deep chocolate flavor without powering chewy ...,Negative,27.4%,25.6%,47.0%
197,br decaffeinated earl grey tea stash plain definitely subtle strong bergamot com...,Positive,52.6%,0.5%,46.9%
198,great stuff cats go crazy like catnip container hleps keep fresh would ever last...,Neutral,31.0%,57.8%,11.2%
199,purchased number different food gift baskets years online always little difficul...,Neutral,5.6%,50.4%,44.1%
200,daughter screams try feed honestly says yuck next time buy one try instead buyin...,Neutral,26.7%,67.5%,5.8%
201,hair dry damaged years coloring blowdrying shampoo makes feel soft silky smells ...,Positive,58.7%,37.9%,3.4%
202,junk food snack food actually good usthis one comes close satisfying salty snack...,Neutral,12.4%,67.6%,20.0%
203,yum yum yum candies addictive frooties wrappers everywhere grape watermelon best...,Neutral,31.3%,39.2%,29.4%
204,enjoy life excellent company chocolate chips take cake toddler number medical is...,Positive,76.7%,5.9%,17.3%
205,reading healthy chocolate said dark chocolate best since active ingredient choco...,Positive,41.7%,37.6%,20.7%
206,tried several stash herbal teas brands favorite mentioned reviewers little weak ...,Neutral,1.0%,70.2%,28.8%
207,organic pouches sell fast store good reason love fruit pouches portable sized pe...,Positive,69.7%,12.7%,17.6%
208,terrific roll mix easy make delicious eat used years great price amazon...,Positive,50.2%,18.2%,31.6%
209,dogs think chicken zukes minis really tasty problem treats tiny lb german shephe...,Positive,83.7%,8.0%,8.3%
210,find particular brand good local coffee shop coffee dd compliment maker made par...,Negative,19.7%,17.2%,63.1%
211,eat gluten free family doesnt pasta far kids cant see real difference like lot o...,Positive,62.6%,9.9%,27.5%
212,vendor clearly attempting take advantage consumers pack used sold since doubled ...,Negative,17.6%,38.4%,44.0%
213,outstanding product live nothern california searched supermarkets area looking t...,Positive,43.2%,15.5%,41.2%
214,ya cant stop eatin themthey goodmy friends addicted themwere gonna explode...,Neutral,15.1%,54.6%,30.4%
215,love product great price th container amazing raw green food also give dogs call...,Negative,9.4%,23.3%,67.2%
216,name company intentionally misleading coffee beantea leaf product yet opened pro...,Negative,3.9%,43.0%,53.1%
217,happen love chai tea fond ingredients store products far best chai found much st...,Negative,31.8%,13.4%,54.8%
218,moist like really taste spices love good glutenfree product...,Negative,31.4%,11.1%,57.5%
219,year old type diabetic son eats solo bar bed prevent middle night low...,Positive,36.4%,35.6%,28.0%
220,okay general tsos isnt exactly gourmet know probably dish ordered chinese take p...,Positive,34.7%,33.9%,31.4%
221,dog absolutely loves greenieshe gets one night thinks great treat decent price t...,Positive,40.9%,31.7%,27.4%
222,coffee lover really enjoy product enough get caffeine really enjoy mornings...,Neutral,8.4%,70.3%,21.4%
223,enjoy convenience one cup time coffee wanted one cup decafe option evening well ...,Neutral,10.8%,58.1%,31.0%
224,bit skeptical big bags satiated end finding halal gummies like us easy task rest...,Neutral,5.3%,48.8%,45.9%
225,eat high fiber cereals good cant say really enjoy taste horrible id much rather ...,Negative,23.2%,9.9%,66.9%
226,lbs showed packed styrafoam cooler plenty gelice packs promisedbr br dud ia lot ...,Negative,21.4%,15.3%,63.3%
227,celiac disease tried ton gf pasta tried would said tinkyada rice pasta best gf t...,Negative,7.8%,40.9%,51.3%
228,using coffee years add little cinnamon grounds best coffee full rich taste unlik...,Negative,17.0%,34.1%,48.9%
229,product doesnt unnecessary things plant sterols magnesium stearate gelatin capsu...,Negative,4.6%,32.0%,63.5%
230,love vendor price reasonable get free shipping ask great price delivered door al...,Negative,16.9%,6.8%,76.3%
231,love salt vinegar chips cant help love almonds sooooooooooooooooooooo good yes a...,Neutral,2.8%,93.2%,4.0%
232,coffee came quickly pleased ordered amazoncom almost regular coffee enjoy tullys...,Neutral,34.7%,43.4%,21.9%
233,disappointed tea taste better liptons yellow label tea expected stash loose tea ...,Positive,43.9%,22.6%,33.5%
234,ordered try see would like ordered single bag big mistake ordered least pack gre...,Neutral,13.3%,67.4%,19.3%
235,love snapea crisp snacks caesar flavored snacks light flavor coatingnot spicy sa...,Positive,47.0%,38.1%,14.8%
236,use get grocery convenient stores kid living oregon washington always sucker goo...,Negative,22.3%,24.4%,53.3%
237,coffee really good pumpkin spice strong weak started adding pumpkin spice creame...,Neutral,24.3%,66.1%,9.6%
238,wakame product sadly isnt carried local markets around area turned internet purc...,Positive,79.7%,0.7%,19.6%
239,purchased due great reviews usually well however compared flavored kcups ie timo...,Negative,7.3%,8.8%,83.9%
240,unfair faithful customer go buy somewhere else amazon...,Positive,47.8%,36.4%,15.8%
241,things enjoyable life freshly popped pork rinds modern technology enabled us pro...,Positive,53.4%,8.9%,37.6%
242,ok isnt exactly good grilled cheese melting slice cheese one crispy discs microw...,Positive,73.2%,20.4%,6.4%
243,would look experiment others pasta best consistency flavor match regular pasta a...,Positive,67.1%,21.3%,11.6%
244,another brand mac cheese powdered cheese one favorites annies shells real aged c...,Negative,0.9%,35.6%,63.5%
245,reading book born run try little seeds say pleasantly surprised energy hydration...,Negative,30.6%,12.1%,57.3%
246,love flavor powdered drink use training runs also use half marathon full maratho...,Neutral,27.2%,56.2%,16.7%
247,like gasproducing hold shape ok canned beans flavor good love dont added salt...,Neutral,4.1%,85.1%,10.8%
248,looking cheese sauce sometime fries chicken strips tasted number cheese sauces t...,Positive,75.5%,22.0%,2.5%
249,looking alternative meat source backpacking trip husband taking soon discovered ...,Positive,43.5%,26.0%,30.5%
250,vendor service exceptionally quick tea best tea dinner begin relax...,Positive,59.2%,20.7%,20.1%
251,priced best gertie loves plus good...,Negative,3.5%,15.9%,80.6%
252,buy terribletiny extremely salty snacks cannot even call snack theyre little awf...,Neutral,5.1%,73.3%,21.6%
253,jrt picky wont eat treats loves greenies mom loves clean teeth breath...,Positive,48.8%,27.7%,23.5%
254,athena toy fox terrier lot problems chewing feet course hair noisy scratching tu...,Positive,41.7%,30.8%,27.4%
255,hibiscus tea exactly described amazon shipped item quickly newer packaging appea...,Negative,33.2%,31.2%,35.5%
256,searching right dog food think finally found standard processed stuff find store...,Neutral,23.6%,43.4%,33.0%
257,love italian sauce stores live longer carry product boo hoo dei fratelli charges...,Positive,55.5%,7.1%,37.4%
258,boxer puppy loves mit doesnt take long eat cheap amazon ford give often...,Negative,25.8%,23.0%,51.2%
259,company gouging people product fabulous best chai latte ever bought count boxes ...,Neutral,29.1%,64.6%,6.3%
260,things good productbr made wellness recalls kind thus far really paranoid sick p...,Positive,53.2%,15.8%,31.0%
261,really hesitate leave negative review since love chips last shipments destroyed ...,Negative,6.9%,27.9%,65.2%
262,good flavorwill buy disappointed long took delivery ups understand mistakes made...,Negative,22.6%,20.7%,56.6%
263,coffee person cut back caff found kcups half caff tried great thank...,Positive,69.3%,10.5%,20.3%
264,dog loves zp hes primarily zp venison kind guy due allergies trying introduce ne...,Positive,65.3%,20.5%,14.3%
265,although touted natural beverage taste way caught seemed taste artificial sweete...,Negative,15.1%,2.3%,82.6%
266,sauce crazy good picked jars whim children ask name highly recommended delicious...,Positive,54.2%,24.1%,21.7%
267,ordered science diet says minced well minced cats like pate minced gets mashed b...,Positive,94.8%,3.4%,1.8%
268,could find local shell gas stationnow source buy want fast secure deliveryprice ...,Neutral,10.4%,75.7%,14.0%
269,love crispbread jalapeno cheese top wonderful bargain price great taste lots...,Negative,25.2%,19.6%,55.2%
270,bought tea asian market town box looks tea horrible doesnt look like little gree...,Positive,47.5%,16.9%,35.6%
271,son didnt like taste doesnt smell nice formulas according friend volunteered tas...,Negative,20.3%,16.2%,63.5%
272,used gluten free bisquick loved thought would try flour recipesit good fried chi...,Negative,6.3%,45.6%,48.1%
273,tea fresh fine wash cup normal infusers teas taste unique flavor tastes like fer...,Positive,92.8%,2.2%,5.0%
274,really goodtoo gooddangerous us dieters oz bag big easy eat whole bag arent care...,Positive,69.8%,23.8%,6.4%
275,bought brand favorite brand sold thought would try something new mistake peanut ...,Negative,18.7%,19.1%,62.2%
276,drinking tea years every daybr best price best delivery time amazon...,Neutral,20.2%,68.7%,11.1%
277,opinion one best chocolates kras chocolate covered maraschino cherries cherry li...,Negative,13.5%,36.7%,49.8%
278,use cup water microd mins high add rd cup mccanns stir cover mins eat add bluebe...,Negative,19.8%,29.8%,50.4%
279,recently switched vegan diet store options knorrs vegetable bullion bought didnt...,Positive,63.5%,8.2%,28.3%
280,one brands corn nut free downside price amazon currently lot pay locally however...,Positive,61.1%,1.1%,37.9%
281,mothers milk tea traditional medicinals common drink nursing moms wanting mainta...,Negative,3.5%,25.7%,70.8%
282,delicious flavor eat salad right pouch canned taste extra fluid good tuna would ...,Neutral,18.5%,56.2%,25.4%
283,chips fresh shipped safely way afghanistan quickly would definately order chips ...,Positive,54.7%,29.9%,15.4%
