,Review,Predicted Sentiment,Positive %,Neutral %,Negative %
73,happy found heartland food products sooo easy make wonderful belgian waffles did...,Neutral,7.3%,90.6%,2.1%
74,cats love seafood variety receiving monthly great price huge benefit received pa...,Negative,26.7%,21.7%,51.6%
75,chewing gum six months opinion best sugarfree gum ever found flavor disipate lit...,Neutral,40.7%,44.8%,14.5%
76,pocky isnt best thing ever certainly way way listbr never enough pocky perfect b...,Neutral,7.9%,80.3%,11.8%
77,coffee method preparing simply best never go back making pots coffee better kcup...,Negative,18.0%,17.1%,64.9%
78,exceptional whenever bars keep box desk work middle afternoon munchie fix soft h...,Negative,26.1%,36.0%,37.9%
79,hearty tasting pretzels made spelt flour right amount salt even husband wont eat...,Neutral,15.5%,69.8%,14.8%
80,splenda user years tried truvia supposed healthier tasting first time coffee pro...,Neutral,14.4%,73.6%,11.9%
81,thoroughly enjoy product mixes well hardly residue bottom cup excellent flavor w...,Negative,18.6%,7.6%,73.7%
82,instant coffee taste good freshly ground brewed coffee instant coffee star best ...,Negative,26.4%,31.4%,42.2%
83,occasionally like add little flavor club soda mineral water gives healthy choice...,Negative,3.8%,37.4%,58.8%
84,giving dog medication using pill pockets loves prefer smell beef chicken doesnt ...,Neutral,24.1%,69.6%,6.3%
85,happy find precooked couscous heated smell odd bad smell much asbr justodd bit u...,Negative,42.6%,11.8%,45.6%
86,great way save money buying kcups supermarkets go bucks cups save much money buy...,Neutral,8.6%,50.1%,41.3%
87,crackers something got fl ordered got home crackers great tasting shipping allow...,Positive,65.9%,31.0%,3.0%
88,far best teriyaki jerky tasted thick cut salty sweet tender price thing good wou...,Negative,3.0%,18.0%,79.0%
89,best coconut ever tasted mention organic comes great price definately purchasing...,Neutral,18.4%,80.3%,1.3%
90,chocolate honeyed pecans bourbon whats like aroma fantastic flavor great biggest...,Neutral,16.2%,64.6%,19.1%
91,dog crazy product thought might healthy treat eat knows isnt getting anything el...,Negative,40.3%,17.8%,41.9%
92,several board games one always want play time love original clue thought jr vers...,Positive,56.4%,21.3%,22.3%
93,stuff delicious love whole grains nongmo organic would pretty useless didnt tast...,Negative,18.5%,1.8%,79.7%
94,name suggests truly yummy little treats packaging perfect good selection flavour...,Positive,79.0%,15.1%,5.9%
95,using making pancakes oven fried chicken product comes handy instead white flour...,Negative,0.3%,14.5%,85.2%
96,tea shipped timely manner fresh taste really good expecting indiviual boxes inst...,Neutral,25.7%,39.0%,35.4%
97,glad amazon brand distributor went business couldnt find hitek anywhere switched...,Positive,75.7%,8.0%,16.3%
98,use mexican dishes rice beans etc huge fan habanero sauces green sauce takes cak...,Negative,23.4%,15.0%,61.6%
99,simple uncomplicated healthy ingredients cooked expeller pressed oils heated ext...,Negative,1.4%,34.0%,64.7%
100,go lot matcha ive tried lot different kinds tea ceremony quality tea powder brig...,Neutral,8.1%,71.1%,20.8%
101,watch emeril lagasses food channel show know routinely uses calls essence emeril...,Neutral,7.7%,46.2%,46.1%
102,three love meat lick plate potatoes peas mashed otherwise vegies stay high dry...,Positive,63.0%,3.9%,33.0%
103,kind chocolate feels waxy hard chew sticks mouth didnt expect cereal faboulous a...,Positive,70.8%,7.4%,21.8%
104,tastes great love value quite great combination ingredients onthego breakfast co...,Neutral,27.5%,69.1%,3.4%
105,extremely generic bluberry taste extremely crumbly overall unsatisfying reason g...,Negative,33.1%,18.4%,48.6%
106,used last year find great one oz container makes waffles tweek label recipe addi...,Neutral,25.5%,73.7%,0.8%
107,dogs loved stopped getting came china issues related chicken dog treats china id...,Negative,4.3%,24.0%,71.7%
108,put one square mouth made want vomit love products absolutely volatile taste stu...,Positive,70.9%,27.3%,1.8%
109,love coffee makes best lattesbr one two every morningbr flavored synthetic taste...,Neutral,24.7%,47.2%,28.1%
110,drinking martinson dark roast five days impressed flavor profile closest kcup st...,Positive,69.0%,1.7%,29.3%
111,started making fondant cakes months ago works great finishing touches cakes with...,Negative,26.4%,13.4%,60.2%
112,like fruit flavored versions yummy earth roadside root beer drops simply awesome...,Positive,52.8%,39.3%,7.9%
113,item fits nicely keurig taking extra counter space easily holds pods flip upside...,Neutral,16.1%,64.1%,19.8%
114,coffee amazing ive tried multiple coffees time come back one strong bitter disap...,Neutral,28.3%,54.6%,17.1%
115,oatmeal good always hated taste maple brown sugar flavor quaker instant oatmeal ...,Positive,50.8%,48.2%,1.0%
116,gsd loves bone like gsds absolutely destroys normal non k type chew toy however ...,Positive,71.0%,27.2%,1.8%
117,cant go wrong cheerios delicious classic order arrived timely reasonable costbr ...,Negative,7.9%,40.3%,51.9%
118,say werthers originalsthey plain tasty havent met anybody could walk past bowl w...,Neutral,12.7%,46.8%,40.4%
119,hard time believing benriach dark rum cask finished single malt whiskey really a...,Negative,7.4%,17.9%,74.7%
120,great snack bar filling able use meal replacement also sweet enough desert...,Neutral,10.9%,55.7%,33.4%
121,popchips best potato chips ever hands bbq flavor strong tangy calories fat low f...,Negative,15.6%,40.8%,43.6%
122,trying bunch different brands iced tea lately sorry bought awful maybe aftertast...,Neutral,0.8%,77.7%,21.5%
123,coffee ok taste cristmas received coffee maker started ordering kcups amazonlook...,Positive,76.2%,16.7%,7.1%
124,reading hype lured buying socalled coffee tastes like coffee grind recycled firs...,Negative,25.3%,20.5%,54.2%
125,pops less expensive local wally world additionally could help think products fac...,Positive,53.3%,2.1%,44.6%
126,dont food allergies close friends cant tolerate gluten im always lookout glutenf...,Neutral,16.3%,42.0%,41.7%
127,looking organic pure maple syrup made usa canada read syrup doesnt need canada c...,Neutral,21.9%,66.1%,12.0%
128,read many reviews coffee purchasing reviews convinced buy perhaps people never g...,Neutral,0.2%,76.1%,23.7%
129,little cookies delicious nice quality chocolate adult kids love...,Neutral,11.2%,46.7%,42.1%
130,say coffee addict getting time cheaper buying store always supply love stuff...,Negative,23.3%,19.9%,56.8%
131,ordered sugar added version usually like sugar added low sugar products ice crea...,Negative,29.7%,28.1%,42.3%
132,sure product would live ads gave energy boost needed needed work overnight shift...,Positive,89.3%,3.0%,7.6%
133,stuff great simple gets job done excess unnecessary crap usually mix milk frozen...,Positive,53.4%,41.8%,4.8%
134,great changeofpace coffee almost didnt buy havent impressed celebritynamed coffe...,Negative,6.5%,40.4%,53.1%
135,using core products several years supplement dry food little canned food prefer ...,Positive,58.6%,2.3%,39.1%
136,texas pete makes great stuff diff like honey mustard give try everyone house thi...,Neutral,24.4%,59.4%,16.2%
137,vivani dark chocolate espresso really great ate first bite visions sitting outdo...,Positive,55.1%,20.1%,24.9%
138,instant ginger drink granular form delicious hot cold little sachets make conven...,Positive,52.3%,24.5%,23.2%
139,hi absolutely love badia complete ive trying find years anyway diet changed sinc...,Neutral,34.4%,56.3%,9.3%
140,worried using things like online great buy worked thank...,Positive,47.1%,39.2%,13.7%
141,put bag test first use stuffing full well plenty waste full liquid bag packed fu...,Negative,0.8%,39.7%,59.6%
142,youre fan bold coffee youll like good quite good timothys parisian nights one to...,Positive,65.0%,17.0%,18.0%
143,best butter ever tasted overpowering taste coconut problem buying amazon order a...,Positive,61.0%,6.7%,32.3%
144,coffee real treat nice bold yet bitter kind coffee get going morning good deal...,Neutral,33.2%,39.8%,27.0%
145,amazing many wonderful things go simple piece bread peanut butter hazlenut butte...,Positive,51.2%,13.7%,35.2%
146,think fair price point amount product quality avid baker used many different typ...,Neutral,22.9%,47.3%,29.8%
147,like plain zico hydration hot day like dessert think chocolate zico better yooho...,Positive,70.3%,2.7%,27.1%
148,recently fallen love multi grain crix green package knowthere wholewheat geeeeee...,Negative,2.0%,28.0%,70.0%
149,absolutely gross imagine swallowing mouth full gel barely go unless glass water ...,Negative,44.2%,11.5%,44.3%
150,boyfriend made pizza mixed hand even though called stand mixer made huge pizza t...,Positive,64.3%,15.7%,20.0%
151,received good condition timely manner great relaxing heart...,Negative,23.0%,0.9%,76.1%
152,panamaacute pty lucky enough juice everyday lunch box every morning breakfast ju...,Positive,52.4%,24.6%,23.0%
153,really like flavor hot chocolate kids love flavor always keep box house kids fri...,Positive,56.4%,8.9%,34.8%
154,pill pockets excellent older dog due health problems taking pills day pill pocke...,Positive,68.2%,12.3%,19.6%
155,looking something different diet soda ordered hansen flavors overly sweet tanger...,Positive,41.0%,26.8%,32.2%
156,gone boxes tea time order wish tea makers would make coldbrewed teas live hot cl...,Positive,59.6%,7.2%,33.1%
157,almonds yummy ordered online stores always walmart target get go quickly like sp...,Neutral,5.9%,93.5%,0.6%
158,true cant find anywhere visited teeny town maine local walmart used carry nc has...,Negative,42.3%,12.4%,45.3%
159,green chai tea goodhow healthy seem like treat time...,Negative,30.4%,0.2%,69.4%
160,receiving coffee tried cup kurig coffee maker saw cups ony half full whole shipm...,Negative,4.7%,24.6%,70.7%
161,love taste breakfast blend kcup coffee cant find better dealbr anywhere else kee...,Neutral,39.4%,55.0%,5.6%
162,loved delicious little crunchy treats checked sodium contentbr still loved snack...,Negative,20.6%,29.1%,50.3%
163,great kids love great time looking animals plus much healthier alternative cooki...,Neutral,27.8%,50.9%,21.3%
164,got efs thru training group stomach issues hard training decided time ditch gato...,Neutral,13.9%,52.2%,33.9%
165,received primal foods products christmas couldnt believe good ive meat eaters tr...,Negative,39.1%,9.0%,51.9%
166,fugeddaboutit coffee nice rich taste husband like tough task hit packaging plus ...,Neutral,23.4%,47.5%,29.2%
167,best black tea find find onbr amazon really even look stores anymore justbr orde...,Positive,63.7%,10.6%,25.7%
168,family love bottled sodas must say ive disappointed selections weve lately know ...,Neutral,41.1%,53.4%,5.5%
169,someone told start drinking green tea good tried bigelow green tea thought taste...,Neutral,0.0%,86.1%,13.9%
170,item contains genetically modified ingredients therefore longer purchasing kello...,Negative,23.5%,12.0%,64.5%
171,maple treats perfect daughters class arrived quickly good shape perfect distribu...,Neutral,26.5%,45.3%,28.2%
172,bought product read couple sites help head chest congestion also read safe use b...,Negative,30.0%,18.3%,51.7%
173,ordered oil couple months ago try reordered second timethis oil oil use great pr...,Positive,53.7%,18.7%,27.6%
174,first say ive always loved starbucks coffee im coffee lover could coffee lover l...,Positive,83.0%,14.6%,2.4%
175,purchased coffee reviews good dissapointed amazing smooth creamy bitter aftertas...,Negative,0.6%,38.2%,61.2%
176,save money even read ingredients bought cannot explain acid aftertaste yuckbr br...,Neutral,32.5%,50.5%,17.1%
177,delicious love product im go cant eat meal packed vitamins curbs appetitie hours...,Negative,3.3%,35.5%,61.2%
178,buy expecting flavor warmfromtheoven new york deli cheesecake yes luck youre loo...,Negative,4.6%,22.3%,73.1%
179,people need know seller thin sticks think order getting good deal price get thin...,Neutral,15.7%,81.1%,3.2%
180,live hawaii cannot find anywhere southeast area used eat everyday pay alot money...,Negative,15.5%,24.3%,60.1%
181,recently discovered larabar full addiction mode love flavors chocolate one favor...,Positive,87.0%,0.8%,12.1%
182,due recent special select lipton tea amazon stocking like crazy lipton green tea...,Negative,15.0%,22.9%,62.0%
183,bought use hair treatment recipe left hair soft shiny use month works great sure...,Neutral,23.8%,45.2%,31.1%
184,cavalier king charles spaniel loves shes months old gone minutes seem digest wel...,Negative,5.1%,24.8%,70.1%
185,might gotten bad box first pouch made distinctly rancidbr first bite tasted horr...,Positive,71.0%,17.8%,11.3%
186,based reviews expected something better tea beat lipton yellow bag better better...,Neutral,23.8%,64.7%,11.5%
187,disappointed drank first k cup ice tea love iced tea however like lemon tea want...,Neutral,31.9%,58.6%,9.6%
188,ordered yet question description bags ounces equal ounces total weight...,Positive,46.7%,39.7%,13.6%
189,dont pod brewer put couple coffeepot brewed water thru yum normally like strong ...,Positive,51.0%,36.9%,12.1%
190,liked first refreshing taste however product leaves strange aftertaste reminds s...,Neutral,40.3%,42.9%,16.9%
191,husband suffering sore stomachbr bought active honey honey review better othersb...,Negative,13.6%,4.9%,81.5%
192,sugar added version stuff tastes good also dont need use cup like old cbtl versi...,Negative,23.5%,22.8%,53.7%
193,love creamy dressings much prefer homemade milkbased variety rather typical soyb...,Positive,56.4%,26.8%,16.9%
194,long plump fragrant everything could want vanilla beans including great pricebr ...,Positive,64.6%,1.2%,34.2%
195,bought grocery store accident us love price store bit high googled line found di...,Negative,1.1%,48.4%,50.5%
196,convenient less messy way incorporate peanut butter dietits absolutely delicious...,Neutral,40.3%,54.3%,5.4%
197,tried coffee wonderful smooth rich full flavored bold would recommend anyone...,Negative,11.7%,0.7%,87.6%
198,reviewed three different flavors switch one href switch watermelon strawberry ou...,Neutral,25.1%,37.6%,37.3%
199,izze great tasting refreshing beverage percent fruit juice percent sparkling wat...,Negative,15.9%,6.0%,78.1%
200,best tasting wasabi peas ive ever hot sweet like sweeter tasting peas typically ...,Negative,33.7%,2.5%,63.8%
201,love soy chips glennys guiltfree taste good low calorie im losing pounds adding ...,Neutral,2.8%,49.1%,48.1%
202,boy loved themhe kept coming back morei wish larger size pet big german shephard...,Neutral,6.4%,58.8%,34.8%
203,held ordering concerned might like taste ive tried organic green teas found flav...,Neutral,27.1%,39.2%,33.6%
204,great stuff love flavor really original refreshing new also love color beautiful...,Neutral,16.2%,82.6%,1.1%
205,flavors artificial good selection different companies coffee tastes yet set star...,Positive,63.3%,5.2%,31.4%
206,stuff good hair skin consume learned taste goes great many foods especially thin...,Neutral,37.5%,52.9%,9.7%
207,enjoyed fig honey flavor new cookie fig newton light made good snack home take f...,Positive,42.1%,16.8%,41.1%
208,recently discovered local walmart priced bag servings decided check amazon loved...,Positive,66.2%,15.8%,18.0%
209,greatest juice ever love switch juices become adicted pretty strick water cranbe...,Negative,30.2%,5.4%,64.4%
210,oatmeal comfort food hate instant stuff homegrown grandmothers longcooking rolle...,Negative,32.8%,17.7%,49.5%
211,got dog hilde gave left half hour breakfast kibble came back check trying use co...,Neutral,18.3%,42.3%,39.4%
212,visit louisiana buy dozens dont visit louisiana order onlinebr like molasses tas...,Positive,86.7%,12.2%,1.0%
213,crunchies great use cereal yogurt ice cream pancakes muffins right package made ...,Positive,62.1%,31.3%,6.7%
214,drink metromint regular basis cant say enough good things water mint added sweet...,Negative,36.6%,10.4%,53.0%
215,liked coffee really good flavor best possible coffee flavor unless maybe dont li...,Positive,67.8%,24.7%,7.5%
216,oreos best doubt small packs convinent carrying around lunch love adult pack lun...,Negative,24.9%,17.1%,58.1%
217,first bought espresso bc way cheaper town omg sooo tasty good espresso paris def...,Positive,83.8%,1.4%,14.8%
218,gonaturally organic gluten free candy really amazing candy made corn syrups arti...,Positive,41.9%,21.0%,37.1%
219,instant coffee good tasting mount hagen misses mark mount hagen tastes like free...,Negative,12.0%,7.6%,80.4%
220,newtons fruit thins pleasant surprise ive never fan old standard newtons soft fi...,Neutral,2.2%,65.3%,32.5%
221,seven year old gray tabby named buddy got three large cat vet target weight poun...,Positive,71.2%,21.0%,7.8%
222,bought one time going work hungry didnt want eat full meal drank satisfied throw...,Neutral,18.0%,71.0%,11.0%
223,bought gift quick comparison shopping seemed good value brother pleased wide var...,Positive,51.3%,45.2%,3.6%
224,months since began gluten free diet first bread ive eaten tastes good moist hold...,Negative,35.5%,24.4%,40.1%
225,essentia ph drinking water liter perfect portable plastic bottled water enjoy dr...,Negative,16.5%,9.7%,73.8%
226,love pack sons take school without worrying refridgeration son lactose intoleran...,Neutral,29.4%,57.3%,13.3%
227,tried youndoo seasoning like alot like dipping sauce mandus added little bit bul...,Positive,57.6%,15.8%,26.6%
228,got today must say great fresh price great...,Negative,38.2%,15.5%,46.2%
229,love cereal barsthe mixed nuts protein bars favorite right amount crunch gm prot...,Negative,9.7%,44.2%,46.1%
230,glad find product quantity arrived promptly described would purchase love agave ...,Neutral,19.8%,47.9%,32.3%
231,enjoyed rich cacao taste high quality chocolate read good fat burning stomach al...,Neutral,23.1%,44.9%,32.0%
232,wanted try jasmine tea ordered one didnt want wait come bought jasmine tea local...,Positive,97.2%,1.9%,0.9%
233,first warned hot times hotter tabasco sauce one heed disclaimer says use dilutio...,Negative,42.6%,13.1%,44.3%
234,got hooked japanese curry mission japan love stuff always hard time finding plac...,Positive,48.3%,36.8%,14.9%
235,taste good product us cholesterol problem help degree reducing problem valuable ...,Negative,13.6%,39.5%,46.9%
236,coffee great really liked dark magic wish made box dark magic...,Neutral,12.8%,73.2%,14.0%
237,cant say happy treats dog loves cant run boy trouble dog literally throws fit re...,Neutral,6.9%,69.6%,23.4%
238,better bullion mushroom makes flavorful rub vegetables meats roasting usual herb...,Negative,25.8%,12.6%,61.6%
239,received free sample hour energy smiley restricted cup coffee day hating got fre...,Positive,53.6%,18.0%,28.4%
240,tried alot coffee like strong bitterthis good stuff...,Negative,19.5%,10.9%,69.7%
241,good choice everyday drinking highest quality extra bold contents make decent mu...,Positive,42.4%,20.3%,37.3%
242,chips arrived completely pulverized shipped extra packing bummer...,Neutral,30.9%,58.8%,10.3%
243,pop every day work employees love convenient auto ship guarantees never run outt...,Negative,18.2%,6.7%,75.1%
244,cooked textured vegetable protein years use spaghetti sauce instead ground meat ...,Negative,5.7%,21.6%,72.7%
245,many types honey mustard pretzel snyder honey mustard pieces best flavorful sati...,Positive,41.1%,29.6%,29.4%
246,imagine regular oatmeal hamburger imagine mccanns steel cut oatmeal fillet migni...,Negative,31.1%,29.0%,39.9%
247,purchased amazon bad product taste like vinagar waterdurkee butter flavoringi wo...,Negative,7.8%,15.1%,77.1%
248,favorite k cup flavor used daily basisyou even reuse kcup refillwhich true many ...,Positive,46.4%,43.3%,10.3%
249,absolutely love depth flavor product great milk sugar...,Negative,30.0%,7.9%,62.0%
250,aside product described arriving safely quickly joels went way fix screw mistake...,Positive,38.9%,37.5%,23.6%
251,used buy sesame candy lately havent able find found purchased happy wonderful...,Negative,21.9%,33.1%,44.9%
252,taste fantastic seems like paperthin chocolate layer thin shipping process made ...,Positive,48.2%,6.6%,45.3%
253,product wonderful packaged wonderful tins would make great include getting healt...,Positive,50.2%,8.4%,41.4%
254,addicted tea perfect solution pg tips wonderful know isnt classiest tea availabl...,Positive,42.2%,37.7%,20.1%
255,get coffee headaches perfume coffee tea one make feel sick like lot tasted prett...,Negative,20.9%,18.1%,61.0%
256,absolutely love pricey worth sprinkle lemon flavored oil bit lime juice saladfan...,Positive,51.5%,19.8%,28.7%
257,one interesting mint flavors ever tasted lasts long time refreshing please keep ...,Negative,1.2%,24.4%,74.4%
258,really like coffee dont like strongbitter tasting coffee blend neither strong bi...,Neutral,34.3%,61.3%,4.4%
259,best margarita mix tasted others much sugar sweet many calories frozen rocks gre...,Negative,36.3%,10.2%,53.6%
260,herbal tea well balanced pleasant tastes like good real lemon acidic ginger seem...,Neutral,12.8%,67.0%,20.3%
261,year old american bulldog gone thousands dollars vet bills worthless speculation...,Negative,27.8%,3.3%,68.9%
262,shipping good everything arrived projected date tea quite expected think green p...,Neutral,14.1%,58.7%,27.3%
263,bought food hoping add little variety cats diet hes felidae evo since took home ...,Negative,8.5%,14.5%,77.0%
264,product came promptly well packaged sealer lid regular lid tea fresh fragrance s...,Positive,52.4%,9.8%,37.8%
265,love make cut wrap freeze zap microwave best brownie ever...,Neutral,1.1%,96.1%,2.9%
266,old wisconsin beef sausagebr br really enjoy low carbohydrate snack hors doeuvre...,Neutral,36.7%,48.9%,14.4%
267,excellent puppy food dog year half adult mini highly recommend royal canin avail...,Positive,48.7%,18.8%,32.5%
268,make loose tea coffeemaker never used coffee use unbleached filters hold tea tea...,Positive,38.4%,28.6%,33.0%
269,disappointed taste chips regular barbecue cant really taste potato almost like e...,Neutral,35.0%,53.3%,11.6%
270,filling doesnt spike blood sugar kind bread fueled ancestors work fields day bre...,Negative,15.0%,41.6%,43.4%
271,really great coffee low acidity makes finish smooth allows flavors linger highly...,Neutral,25.6%,66.6%,7.8%
272,new puppy take antibiotics twice day kennel cough puppy hates pills took lot tim...,Negative,30.4%,24.2%,45.4%
273,think youre eating real san marzano tomatoes think certificate number real mccoy...,Neutral,36.1%,49.5%,14.4%
274,actually got amazon order jars ship christmas presents time review shipping pric...,Neutral,13.6%,73.7%,12.7%
275,two dogs absolutely love yummy chummies whenever tell time yummies tummies come ...,Neutral,30.0%,60.1%,9.8%
276,nice found decaf coffee strong flavor make coffee using smallest cup setting keu...,Neutral,22.1%,44.9%,33.0%
277,indeed tiny many bag thats problem toy poodle loves treats even put dogs dry kib...,Neutral,29.4%,65.2%,5.3%
278,bought local store broke first one smaller training treats finger stabbed needle...,Positive,55.5%,36.8%,7.7%
279,drink lot tea iced hot next regular standby black tea hot drink tea favorite fla...,Neutral,20.2%,49.2%,30.7%
280,vet saw wildside salmon freezedried processed china recommended stop feeding cat...,Negative,5.2%,21.8%,73.0%
281,kitten months old weve seen change coat since switching brand food previously fe...,Neutral,15.4%,48.3%,36.3%
